site,date,flue,is_flue_drought,cluster,NR_B1,NR_B2,NR_B3,NR_B4,NR_B5,NR_B6,NR_B7,LST,t2m_era5,ssrd_era5,pcwd_era5,vegtype
AR-Vir,2010-02-26,0.957474147424953,TRUE,cGR,0.0239,0.3246,NA,0.0417,NA,0.0983,0.0335,NA,294.080657958984,16295912,14.4944421838967,ENF
AR-Vir,2010-02-27,0.9782901458581912,TRUE,cGR,NA,NA,0.0125,0.041,NA,0.1026,0.0323,NA,295.258148193359,9144892,0,ENF
AR-Vir,2010-03-01,0.9555096094997378,TRUE,cGR,0.0225,0.3228,0.0121,0.0396,NA,NA,0.0317,299.3500061,297.882751464844,25042550,8.59524761007944,ENF
AR-Vir,2010-03-04,0.9443132999675736,TRUE,cGR,NA,0.3286,0.0118,0.0404,0.2637,NA,0.0313,NA,299.659210205078,22244646,19.3902046494382,ENF
AR-Vir,2010-03-06,0.9254116136005645,TRUE,cGR,0.0234,0.3297,0.0119,0.0393,NA,NA,0.0317,303.1399994,298.502288818359,24357460,27.3418101350444,ENF
AR-Vir,2010-03-07,0.913461387628247,TRUE,cGR,0.0236,0.3368,0.0118,0.0406,0.2665,0.1017,0.0322,300.3599854,297.99267578125,26107160,31.3579891159232,ENF
AR-Vir,2010-03-08,0.9202396959570902,TRUE,cGR,NA,NA,0.0118,0.0409,0.2662,0.1023,0.0325,300.0399933,297.299224853516,18139772,35.3503061336019,ENF
AR-Vir,2010-03-09,0.9093563012841244,TRUE,cGR,0.0222,0.336,0.0116,0.0405,0.2647,0.1018,NA,300.51998905,298.540069580078,21666374,39.1788991255838,ENF
AR-Vir,2010-03-10,0.8944173397045347,TRUE,cGR,0.022,NA,NA,0.0404,0.2641,0.1032,0.0327,301.6299896,298.608184814453,23987974,43.1950781064626,ENF
AR-Vir,2010-03-11,0.909514467882411,TRUE,cGR,0.022,NA,0.0116,0.0404,0.2656,0.1033,NA,300.80999755000005,298.421936035156,21224916,47.0397854964666,ENF
AR-Vir,2010-03-12,0.8860539649868129,TRUE,cGR,0.0221,0.3498,0.0118,0.041,NA,0.1054,0.0329,NA,297.158721923828,25815356,51.0559644773454,ENF
AR-Vir,2010-03-13,0.9084425219720812,TRUE,cGR,0.0223,0.3518,0.0119,0.0401,NA,NA,0.0332,NA,294.794464111328,4848077.5,46.7631870586642,ENF
AR-Vir,2010-03-14,0.903626441249097,TRUE,cGR,0.0222,0.3522,0.0121,0.0411,0.2804,NA,NA,298.9099884,296.090667724609,14031001,50.4407160220318,ENF
AR-Vir,2010-03-15,0.8926063901787245,TRUE,cGR,0.0231,NA,0.0107,0.0416,0.2803,NA,0.0321,NA,297.001129150391,21172362,54.4109780242042,ENF
AR-Vir,2010-03-16,0.8743198708895686,TRUE,cGR,0.023,0.3509,0.0108,0.0423,0.279,0.1031,0.0326,300.77999875,295.902801513672,25229698,58.426715930706,ENF
AR-Vir,2010-03-17,0.8650025713990733,TRUE,cGR,0.023,NA,0.011,0.0417,NA,0.1051,0.0341,302.4299927,297.788360595703,24208534,62.4428949115847,ENF
AR-Vir,2010-03-19,0.8744113654050876,TRUE,cGR,NA,0.3486,0.0109,0.0419,0.282,0.1063,NA,NA,299.356048583984,12366802,60.6626221603562,ENF
AR-Vir,2010-03-20,0.8585339435103259,TRUE,cGR,0.0234,0.3462,0.0113,0.0399,0.2547,0.1054,0.0317,NA,297.895172119141,13736522,0,ENF
AR-Vir,2010-03-21,0.8570008509035222,TRUE,cGR,NA,NA,0.011,0.0401,0.2533,0.1041,NA,299.9299927,298.309539794922,15667026,0,ENF
AR-Vir,2010-03-22,0.9523557605083892,TRUE,cGR,0.0232,NA,0.0109,0.0399,0.2542,NA,0.0302,NA,296.693572998047,5028058,0,ENF
AR-Vir,2010-03-24,1.0165906239035034,FALSE,cGR,NA,0.3362,0.0106,NA,0.2483,0.1015,0.0304,NA,296.429016113281,19682952,4.01595597427003,ENF
AR-Vir,2010-03-25,1.0118541592066908,FALSE,cGR,NA,0.336,0.0105,0.0355,0.2478,0.1017,0.0298,NA,296.505950927734,9848438,7.99578514038526,ENF
AR-Vir,2010-03-26,1.0178643411923305,FALSE,cGR,NA,0.3351,0.012,0.0367,NA,0.0983,0.0283,NA,297.150787353516,15798270,11.7657308726465,ENF
AR-Vir,2010-03-27,1.0141850463889313,FALSE,cGR,0.0189,0.3348,0.012,NA,0.2447,0.0981,0.0283,295.8999939,298.029876708984,18116150,15.2530483178122,ENF
AR-Vir,2010-03-28,1.0128073690082748,FALSE,cGR,0.0189,NA,0.0119,0.0365,0.2445,NA,0.0283,299.2899933,297.3798828125,16272682,18.841905331255,ENF
AR-Vir,2010-03-29,1.013592494116766,FALSE,cGR,0.0186,0.323,0.0117,0.0359,0.2478,0.1003,0.0304,299.70999144999996,297.076263427734,16078636,22.7030672411958,ENF
AR-Vir,2010-03-30,1.0175416950725982,FALSE,cGR,0.0188,0.3235,0.011,0.0357,0.248,NA,0.03,299.45999144999996,297.207122802734,18422248,26.6108069141237,ENF
AR-Vir,2010-03-31,1.0270850981785578,FALSE,cGR,0.019,NA,0.0113,0.0333,0.2463,0.098,NA,301.9599915,297.608306884766,20538980,30.6256857614123,ENF
AR-Vir,2010-04-01,1.0155940084374977,FALSE,cGR,0.0169,NA,0.0103,0.0327,NA,0.0972,0.0296,NA,299.007385253906,20874824,33.5698037563798,ENF
AR-Vir,2010-04-02,1.0134081564084008,FALSE,cGR,0.017,NA,0.0103,NA,0.2452,0.0968,0.0288,300.65998845,298.984771728516,19204900,35.7546851003547,ENF
AR-Vir,2010-04-03,1.0033299866154866,FALSE,cGR,NA,0.3133,NA,0.0328,NA,0.0966,0.0292,NA,297.721771240234,11902056,33.2785095327568,ENF
AR-Vir,2010-04-04,0.9983483050481474,FALSE,cGR,0.018,0.3133,0.0105,NA,NA,0.0963,NA,NA,294.1748046875,10713656,33.6477113936161,ENF
AR-Vir,2010-04-05,1.000465056026804,FALSE,cGR,NA,NA,0.0112,0.0329,NA,0.0966,0.0315,NA,292.135955810547,19669608,36.5971878694319,ENF
AR-Vir,2010-04-06,1.011541947434674,FALSE,cGR,0.0196,NA,NA,0.0329,0.2501,0.0971,0.0317,295.77000425,291.190216064453,21558766,39.5559694485809,ENF
AR-Vir,2010-04-07,1.0030877240035423,FALSE,cGR,0.0194,NA,NA,NA,0.2509,0.0966,0.0318,296.2899933,291.4482421875,20597570,42.5126118058672,ENF
AR-Vir,2010-04-08,1.0043997549083277,FALSE,cGR,0.0194,0.3161,NA,0.0326,0.251,0.0965,0.0321,295.71998595,291.841552734375,21189046,45.4683778459089,ENF
AR-Vir,2010-04-09,0.99817128941571,FALSE,cGR,0.0191,0.3142,0.011,0.0321,0.247,0.0953,0.031,297.2299957,292.462371826172,19176560,48.4280192219565,ENF
AR-Vir,2010-04-10,1.006722938945801,FALSE,cGR,0.0191,0.3144,NA,0.0321,0.2469,0.0952,NA,NA,294.228302001953,16630460,51.3859380237928,ENF
AR-Vir,2010-04-11,1.006260058858495,FALSE,cGR,0.0191,0.3151,NA,0.0321,0.2491,0.0955,0.0321,299.22999575,293.642272949219,20411522,54.3455793998404,ENF
AR-Vir,2010-04-12,0.9987804744974196,FALSE,cGR,0.0189,NA,0.0108,NA,NA,0.0951,0.0321,NA,294.761383056641,19064498,57.3026398948147,ENF
AR-Vir,2010-04-13,1.000902180329451,FALSE,cGR,0.0189,0.315,0.0108,NA,0.2484,0.0951,0.032,NA,296.767547607422,17423610,60.262281270862204,ENF
AR-Vir,2010-04-14,0.9859771481405936,FALSE,cGR,NA,0.3171,NA,0.0346,0.264,0.0966,0.0337,NA,296.227386474609,15944506,61.1895965781807,ENF
AR-Vir,2010-04-15,0.9673382111890972,FALSE,cGR,0.0173,NA,0.0095,NA,0.2626,0.0966,0.0357,NA,289.676574707031,12056068,59.2335595462314,ENF
AR-Vir,2010-04-16,0.9852328400432246,FALSE,cGR,NA,NA,0.0094,0.0341,0.2607,0.0976,0.0359,295.11999515,290.213714599609,19685388,62.192348575961,ENF
AR-Vir,2010-04-17,0.996373839871363,FALSE,cGR,0.0216,0.3484,0.0108,0.038,NA,0.1007,0.0366,NA,296.300598144531,18035944,65.1511376056906,ENF
AR-Vir,2010-04-18,0.9941312613867912,FALSE,cGR,0.0215,0.3478,0.0107,NA,0.2625,0.0975,0.0376,NA,299.134674072266,14275918,68.1103438679336,ENF
AR-Vir,2010-04-19,0.9904548596343354,FALSE,cGR,0.0226,0.3515,0.0114,0.0376,0.2703,0.1001,0.039,NA,299.674926757812,13526202,70.9334324434404,ENF
AR-Vir,2010-04-20,0.9943512300262444,FALSE,cGR,0.0262,NA,0.0139,0.0415,NA,0.1028,NA,NA,297.500579833984,8049282,0,ENF
AR-Vir,2010-04-21,0.9990800139630488,FALSE,cGR,NA,NA,0.0125,NA,0.2541,0.1037,0.0297,NA,295.584503173828,5222600,0,ENF
AR-Vir,2010-04-23,1.006563003612838,FALSE,cGR,NA,0.3142,0.013,NA,0.2425,0.1019,0.0349,293.72999575,290.704956054688,16361862,2.11250751000196,ENF
AR-Vir,2010-04-24,0.9998727550107014,FALSE,cGR,0.0223,NA,0.0128,0.0376,0.24,0.1035,NA,NA,290.204803466797,14216090,4.79512198037133,ENF
AR-Vir,2010-04-26,1.0087292535709698,FALSE,cGR,0.0222,0.3128,0.0126,NA,0.2399,NA,0.0334,NA,291.683410644531,7208590,7.16576804920362,ENF
AR-Vir,2010-04-27,1.015235270054745,FALSE,cGR,0.0221,0.3125,NA,0.0373,0.2397,0.1021,0.0332,NA,290.544921875,16638022,10.1225256392412,ENF
AR-Vir,2010-04-28,1.0135509298596914,FALSE,cGR,0.0219,0.3117,0.0124,0.0371,0.2383,0.0988,0.0328,294.08999630000005,289.798248291016,18065218,13.0821670152888,ENF
AR-Vir,2010-04-29,1.0139648505327743,FALSE,cGR,0.0218,0.3115,0.0123,0.0369,NA,0.0986,0.0326,293.84999085000004,288.857208251953,18166714,16.0418083913364,ENF
AR-Vir,2010-04-30,1.0134355953837393,FALSE,cGR,0.0217,0.3116,0.0122,0.0367,0.2378,NA,0.0324,296.2599945,289.077423095703,18054984,19.0005899704854,ENF
AR-Vir,2010-05-01,1.0162350751029348,FALSE,cGR,0.0217,0.3107,0.0122,NA,0.2396,0.0976,NA,295.34999085,290.059417724609,17984724,20.3273064024617,ENF
AR-Vir,2010-05-02,1.00113985413475,FALSE,cGR,0.0215,0.309,0.0123,0.0361,0.2378,NA,0.0293,NA,290.832611083984,13535970,21.6548930623312,ENF
AR-Vir,2010-05-03,1.0001422234090225,FALSE,cGR,NA,NA,0.0124,0.0359,0.2372,NA,0.0287,NA,292.803405761719,6269652,19.5534086291203,ENF
AR-Vir,2010-05-04,0.9889448593017804,FALSE,cGR,0.0216,0.3095,NA,0.0358,0.237,0.0956,0.0285,NA,289.886505126953,6247380,20.7097844072157,ENF
AR-Vir,2010-05-05,0.9998241719736513,FALSE,cGR,0.0212,NA,0.0121,0.0355,0.2364,0.0953,NA,NA,291.095275878906,8437576,22.0237945864593,ENF
AR-Vir,2010-05-06,0.9977512661985206,FALSE,cGR,NA,0.3102,0.0111,NA,0.2318,0.0903,0.026,NA,292.414154052734,12847610,23.3473420531996,ENF
AR-Vir,2010-05-07,0.9905466952580224,FALSE,cGR,0.0202,0.3137,0.0118,0.0341,NA,0.0904,0.0255,NA,290.863891601562,4729248,19.8276016519694,ENF
AR-Vir,2010-05-08,0.9878432417847716,FALSE,cGR,0.0206,NA,0.0112,NA,0.2346,0.089,0.0238,290.7700043,287.884765625,16407234,21.1543154519816,ENF
AR-Vir,2010-05-09,0.982460091676288,FALSE,cGR,0.0195,0.3154,0.0111,0.0331,NA,NA,0.0236,290.4099884,286.071685791016,13252318,22.4804302369554,ENF
AR-Vir,2010-05-10,0.9792123465788628,FALSE,cGR,0.0197,NA,0.0107,NA,0.2329,0.088,0.0249,NA,286.795471191406,12857038,23.7046777192828,ENF
AR-Vir,2010-05-11,0.9796246716696194,FALSE,cGR,0.0195,NA,0.0106,NA,0.2326,0.088,NA,288.06999205,286.576324462891,7966654,24.8925762635995,ENF
AR-Vir,2010-05-12,0.9866877628399762,FALSE,cGR,0.0194,0.3133,0.0104,0.0325,0.2324,0.088,0.025,NA,287.919464111328,6905824,26.2022976396318,ENF
AR-Vir,2010-05-13,0.989097935020958,FALSE,cGR,0.0193,0.313,NA,NA,NA,NA,0.0251,NA,289.272705078125,15470900,27.5298783389573,ENF
AR-Vir,2010-05-14,0.9881163263346456,FALSE,cGR,NA,0.3125,0.0103,0.0323,0.2321,NA,NA,288.72999575,290.375732421875,14929190,28.8583173451449,ENF
AR-Vir,2010-05-15,0.9905116591112832,FALSE,cGR,0.0185,NA,0.0099,NA,0.2285,0.0876,0.0245,NA,292.20458984375,14237836,30.1838772114761,ENF
AR-Vir,2010-05-16,0.9762880936802208,FALSE,cGR,0.0185,0.3061,NA,0.0331,0.2284,0.0875,0.0245,NA,290.159942626953,6142940,31.3750821546595,ENF
AR-Vir,2010-05-18,1.0077805909192663,FALSE,cGR,NA,0.3032,NA,NA,NA,0.0875,NA,NA,287.154022216797,2955668,0,ENF
AR-Vir,2010-05-19,0.9987112829739936,FALSE,cGR,NA,NA,NA,0.0318,NA,0.0864,NA,NA,287.93603515625,7893386,1.30687299324053,ENF
AR-Vir,2010-05-20,0.9913886455572728,FALSE,cGR,NA,0.3009,NA,0.0317,NA,0.0863,NA,NA,288.590667724609,4385500,2.08357421269172,ENF
AR-Vir,2010-05-21,0.9975305580580628,FALSE,cGR,NA,0.2998,NA,0.0314,NA,NA,NA,NA,290.694793701172,10903720,3.33778145457759,ENF
AR-Vir,2010-05-22,0.9980661717250304,FALSE,cGR,NA,0.301,NA,0.0311,NA,0.0844,NA,NA,292.543487548828,13337164,4.58644973548648,ENF
AR-Vir,2010-05-23,1.0029521122456375,FALSE,cGR,NA,NA,NA,0.0304,NA,0.0843,NA,NA,293.043884277344,7636372,4.4753847655301104,ENF
AR-Vir,2010-05-25,0.995766797533414,FALSE,cGR,NA,0.2946,NA,0.0312,NA,0.0882,NA,NA,287.788848876953,13544672,1.31507452542281,ENF
AR-Vir,2010-05-26,1.0036203600940738,FALSE,cGR,0.0181,NA,0.0093,0.0297,0.2326,0.0879,NA,291.75,287.599029541016,14697400,2.6419575736452,ENF
AR-Vir,2010-05-27,0.9973597250235886,FALSE,cGR,0.0181,NA,NA,NA,0.233,NA,NA,NA,288.505920410156,12773128,3.96997040661691,ENF
AR-Vir,2010-05-28,0.9936400049341584,FALSE,cGR,0.0182,0.3039,NA,0.0297,0.2334,0.0881,0.0252,NA,289.924896240234,9520724,3.67177455891241,ENF
AR-Vir,2010-05-29,1.0002405761205109,FALSE,cGR,0.0182,0.3011,0.0095,0.0298,0.2339,NA,NA,NA,291.166717529297,7254768,0,ENF
AR-Vir,2010-05-30,0.9998659070256888,FALSE,cGR,NA,0.3002,0.0094,0.0288,0.2301,0.0904,NA,NA,288.923614501953,4245180,0,ENF
AR-Vir,2010-05-31,0.996243138954561,FALSE,cGR,NA,0.2994,0.0083,0.028,0.2262,0.0882,0.0298,NA,285.873077392578,10397240,1.30443148381745,ENF
AR-Vir,2010-06-01,0.9999995986846472,FALSE,cGR,0.0171,0.298,NA,0.0291,0.2243,NA,0.03,288.17999269999996,285.545074462891,14029076,2.36389234835267,ENF
AR-Vir,2010-06-02,0.9971316970578498,FALSE,cGR,0.0173,0.2973,0.0089,0.0295,0.2233,0.0876,NA,291.4099884,286.709136962891,12242052,3.42669310310118,ENF
AR-Vir,2010-06-03,0.99745865502395,FALSE,cGR,0.0173,0.2969,0.0088,NA,0.2238,0.0876,0.0285,NA,288.694274902344,11363172,4.17822036425574,ENF
AR-Vir,2010-06-04,1.0051763957588926,FALSE,cGR,0.0175,0.2957,0.0087,0.0294,NA,NA,0.0285,NA,290.310394287109,9898240,2.01309232592371,ENF
AR-Vir,2010-06-05,1.0007319069328813,FALSE,cGR,0.0174,0.2954,0.0086,0.0293,0.222,0.0873,0.0285,289.55000305,287.032440185547,12320796,3.07575040801098,ENF
AR-Vir,2010-06-06,0.9966506674041022,FALSE,cGR,NA,0.2951,NA,0.0293,0.2218,0.0872,NA,289.5,284.53515625,13814144,4.1376790393087,ENF
AR-Vir,2010-06-07,0.9937378403051154,FALSE,cGR,0.0174,0.2949,0.0085,NA,0.2216,0.0871,0.0283,291.03999325,285.000366210938,14050224,5.20133810091924,ENF
AR-Vir,2010-06-08,0.995255228873466,FALSE,cGR,0.0175,0.2948,NA,NA,0.2216,0.0871,0.0283,NA,285.857452392578,13890800,6.26499716252977,ENF
AR-Vir,2010-06-09,0.9882229728340908,FALSE,cGR,0.0178,0.2936,0.0084,0.0294,0.2189,0.0873,0.0287,NA,285.402374267578,13719780,7.32779791727828,ENF
AR-Vir,2010-06-10,0.9914089210693746,FALSE,cGR,0.0177,0.3015,0.0082,0.0296,0.2252,NA,0.0292,NA,284.862609863281,13605328,8.39145697888882,ENF
AR-Vir,2010-06-11,0.9910209846063488,FALSE,cGR,0.0171,0.3025,0.0078,0.029,0.2282,0.0852,NA,NA,286.274993896484,12995836,9.45332654339419,ENF
AR-Vir,2010-06-12,0.9841987941314172,FALSE,cGR,0.0171,0.3031,0.0078,0.0291,0.2287,0.0852,NA,NA,290.011505126953,9091596,10.5135980592017,ENF
AR-Vir,2010-06-13,0.9859061621969534,FALSE,cGR,0.0171,0.3037,NA,0.0291,0.2293,0.0852,0.0298,NA,290.476654052734,8265848,11.5764047744943,ENF
AR-Vir,2010-06-14,0.9876259870311588,FALSE,cGR,0.0179,0.3038,NA,NA,0.2306,0.0849,0.0296,NA,291.161437988281,11134666,12.6400638361048,ENF
AR-Vir,2010-06-15,0.9851123081913294,FALSE,cGR,0.0184,0.3,0.0092,0.0309,NA,0.0877,0.0292,NA,293.311492919922,10600428,13.6479428855257,ENF
AR-Vir,2010-06-17,0.9973541342471132,FALSE,cGR,NA,0.3141,NA,NA,NA,0.0892,NA,NA,292.565032958984,6786432,4.17770448104281,ENF
AR-Vir,2010-06-18,0.9985112176224908,FALSE,cGR,NA,0.3202,NA,0.0347,NA,NA,NA,NA,293.228790283203,6057108,0,ENF
AR-Vir,2010-06-20,1.0015201055613343,FALSE,cGR,NA,NA,NA,0.0359,NA,NA,NA,NA,286.33544921875,11360148,1.06280671529257,ENF
AR-Vir,2010-06-21,1.0014098521276495,FALSE,cGR,NA,0.3177,NA,0.0359,NA,0.0914,NA,NA,284.962432861328,8708632,2.12516941578332,ENF
AR-Vir,2010-06-22,1.0065753148728795,FALSE,cGR,NA,0.3173,NA,0.0358,NA,0.0914,NA,287.83999635,284.535919189453,13732544,3.18797613107588,ENF
AR-Vir,2010-06-23,1.0068500198688253,FALSE,cGR,NA,0.3173,NA,NA,NA,0.0914,NA,NA,288.063507080078,12299612,4.24178834820884,ENF
AR-Vir,2010-06-24,1.0066218385789762,FALSE,cGR,NA,0.3123,NA,NA,NA,0.0915,NA,NA,294.947296142578,8378132,3.26153056598784,ENF
AR-Vir,2010-06-26,1.0068399965851147,FALSE,cGR,0.0231,0.299,NA,0.0332,0.235,0.0943,0.0407,296.16998295,292.682495117188,11395444,0,ENF
AR-Vir,2010-06-27,1.0043405687386011,FALSE,cGR,0.023,0.2953,0.0119,0.0328,0.2368,0.105,0.0398,294.42999265000003,293.030700683594,8403536,0.221434138648049,ENF
AR-Vir,2010-06-28,0.9996497860529816,FALSE,cGR,0.0228,0.2956,0.0119,NA,0.2377,NA,0.0393,NA,286.637969970703,4455608,0.130613978817734,ENF
AR-Vir,2010-06-29,0.9964415881089744,FALSE,cGR,0.0229,NA,0.0119,0.0331,NA,NA,0.0394,NA,288.842498779297,8250816,1.18267859642427,ENF
AR-Vir,2010-06-30,1.0136610177673555,FALSE,cGR,NA,0.2949,NA,0.0331,0.2374,0.1052,0.0394,NA,290.560455322266,7028028,1.2070183355903,ENF
AR-Vir,2010-07-01,1.0149089435573604,FALSE,cGR,0.0235,NA,0.0122,NA,0.2367,0.1047,0.0393,NA,292.327423095703,9700488,2.4063101826339,ENF
AR-Vir,2010-07-02,1.0092619349896093,FALSE,cGR,NA,0.2942,0.0122,0.0335,NA,0.1049,NA,295.6499939,293.574462890625,13021716,3.61530005035378,ENF
AR-Vir,2010-07-03,1.008188015925555,FALSE,cGR,0.0221,0.2836,NA,NA,0.2293,0.1047,0.037,NA,293.380401611328,12888436,4.82471013083071,ENF
AR-Vir,2010-07-04,1.010286558744312,FALSE,cGR,0.0221,NA,0.0116,0.0321,NA,0.1009,0.0359,297.6699982,293.552825927734,13328808,6.0336910578197704,ENF
AR-Vir,2010-07-05,1.0121231053901465,FALSE,cGR,0.022,0.2838,0.0116,0.0321,0.2277,NA,NA,298.67999265,294.683197021484,13249246,7.24266502592381,ENF
AR-Vir,2010-07-06,1.0129565431362424,FALSE,cGR,0.0213,0.2812,0.0114,NA,0.2253,NA,NA,NA,295.553527832031,9384824,8.45165787388731,ENF
AR-Vir,2010-07-07,0.998263853160569,FALSE,cGR,0.0207,0.2802,0.0109,0.0306,NA,0.0938,0.0347,NA,294.19921875,6967948,4.52762276585878,ENF
AR-Vir,2010-07-08,0.9884377094000923,FALSE,cGR,0.0201,NA,0.0106,NA,0.2241,NA,0.0345,290.1799927,287.783966064453,11256840,5.6968378195656,ENF
AR-Vir,2010-07-10,0.9975847331712452,FALSE,cGR,0.0209,0.2785,NA,0.0306,NA,0.0945,0.0341,NA,290.419219970703,6682312,1.19250707477603,ENF
AR-Vir,2010-07-11,0.997897737423616,FALSE,cGR,0.0191,0.2761,0.0102,NA,NA,0.0923,0.0321,294.4199982,291.578948974609,7745076,0,ENF
AR-Vir,2010-07-12,1.0042307108688322,FALSE,cGR,0.0196,0.2744,0.01,0.0296,0.2227,0.0925,NA,NA,285.923278808594,3344872,0,ENF
AR-Vir,2010-07-13,1.0284915451442118,FALSE,cGR,0.0198,0.2748,0.0101,0.0296,0.2228,0.092,0.0311,NA,280.077117919922,14588962,1.2089853973829,ENF
AR-Vir,2010-07-14,1.0140574518268006,FALSE,cGR,0.0205,0.2761,0.0103,0.0301,NA,0.0923,NA,NA,280.284515380859,14532962,2.41838951728734,ENF
AR-Vir,2010-07-15,1.011311131848842,FALSE,cGR,0.0204,0.2758,0.0103,0.0305,0.2223,0.0909,0.0324,284.1399841,280.181488037109,14484596,3.62779959776426,ENF
AR-Vir,2010-07-16,1.0142567151939903,FALSE,cGR,0.0202,0.275,0.0106,NA,0.219,NA,0.0296,282.8699951,280.351043701172,11044522,4.83506391097243,ENF
AR-Vir,2010-07-19,1.0060987104325392,FALSE,cGR,0.02,NA,NA,0.0305,0.2189,0.0896,0.028,NA,280.312316894531,4198196,0,ENF
AR-Vir,2010-07-20,1.0163600923727745,FALSE,cGR,0.0191,NA,0.0096,0.0295,NA,0.0884,NA,285.8500061,281.434967041016,14788820,1.20070887434975,ENF
AR-Vir,2010-07-22,1.0094140103811235,FALSE,cGR,0.0199,NA,0.01,0.0302,NA,0.0886,0.0275,NA,283.227355957031,12057408,1.19899935991396,ENF
AR-Vir,2010-07-23,1.0160829395461162,FALSE,cGR,0.0203,NA,0.0104,0.0309,0.2259,0.0882,0.0282,287.269989,282.197601318359,15371442,2.40840599499758,ENF
AR-Vir,2010-07-24,0.9993202129058442,FALSE,cGR,NA,0.2774,0.0108,0.0313,0.2253,0.0856,NA,NA,287.478881835938,10489788,0,ENF
AR-Vir,2010-07-26,1.0220219024806816,FALSE,cGR,NA,0.2785,0.0099,0.0299,0.2244,0.0837,NA,287.969986,281.961883544922,15647956,1.20926740781568,ENF
AR-Vir,2010-07-27,1.0196084395791396,FALSE,cGR,0.0194,0.276,0.0101,0.0295,0.2221,0.0846,0.0274,288.3999939,283.053344726562,16054112,2.41523989453096,ENF
AR-Vir,2010-07-28,1.0009075616910146,FALSE,cGR,NA,0.2771,NA,0.0296,NA,0.0851,0.0279,NA,290.307342529297,9830902,3.62301283492039,ENF
AR-Vir,2010-07-29,1.0042923518418003,FALSE,cGR,0.0192,0.2773,0.0101,0.0293,0.222,0.0851,0.0275,290.9199829,291.094512939453,10389068,4.83154415189623,ENF
AR-Vir,2010-07-30,1.0119245884318857,FALSE,cGR,0.0192,0.2775,0.0101,0.0293,0.222,0.0852,0.028,NA,294.277770996094,14582090,6.04052273960808,ENF
AR-Vir,2010-08-03,1.0182226197690405,FALSE,cGR,0.0191,NA,0.0098,0.0292,0.2288,0.0893,0.0287,284.8099823,280.345367431641,16190022,5.45729270074998,ENF
AR-Vir,2010-08-04,1.0190351157303243,FALSE,cGR,0.0202,NA,0.0107,NA,0.2253,NA,0.0291,284.72000119999996,279.687164306641,16429346,7.27625600253547,ENF
AR-Vir,2010-08-05,1.0019752148408698,FALSE,cGR,0.0208,0.2751,NA,0.0296,0.2237,NA,0.029,NA,281.195220947266,13975410,9.071209370312,ENF
AR-Vir,2010-08-06,1.0033866070841573,FALSE,cGR,0.0209,0.2751,0.0109,NA,0.224,0.0948,NA,NA,282.999420166016,16081850,10.8880554192498,ENF
